ZIP,CITY,COUNTY
15006,Bairdford,Allegheny
15007,Bakerstown,Allegheny
15014,Brackenridge,Allegheny
15015,Bradfordwoods,Allegheny
15017,Bridgeville,Allegheny
15018,Buena Vista,Allegheny
15020,Bunola,Allegheny
15024,Chesqick,Allegheny
15025,Floreffe,Allegheny
15025,Jefferson Hills,Allegheny
15025,Large,Allegheny
15025,Clairton,Allegheny
15028,Coulters,Allegheny
15030,Creighton,Allegheny
15031,Cuddy,Allegheny
15032,Curtisville,Allegheny
15034,Dravosburg,Allegheny
15035,East Mckeesport,Allegheny
15037,Elizabeth,Allegheny
15044,Gibsonia,Allegheny
15045,Glassport,Allegheny
15046,Glenwillard,Allegheny
15046,Crescent,Allegheny
15047,Greenock,Allegheny
15049,harwick,Allegheny
15051,Idianola,Allegheny
15056,Leetsdale,Allegheny
15064,Morgan,Allegheny
15065,Natrona,Allegheny
15071,Noblestown,Allegheny
15071,Oakdale,Allegheny
15075,Rural Ridge,Allegheny
15076,Russellton,Allegheny
15082,Sturgeon,Allegheny
15084,Tarentum,Allegheny
15086,Warrendale,Allegheny
15088,West Elizabeth,Allegheny
15090,Wexford,Allegheny
15091,Wildwood,Allegheny
15095,Bulk Mail Center,Allegheny
15095,Warrendale,Allegheny
15101,Allison Park,Allegheny
15102,Bethel Park,Allegheny
15104,Braddock,Allegheny
15104,Rankin,Allegheny
15106,Carnegie,Allegheny
15106,Heidelberg,Allegheny
15108,Moon Township,Allegheny
15108,Coraopolis,Allegheny
15110,Duquesne,Allegheny
15112,East Pittsburgh,Allegheny
15116,Glenshaw,Allegheny
15120,Homestead,Allegheny
15120,Munhall,Allegheny
15120,West Homestead,Allegheny
15120,Whitaker,Allegheny
15122,Pittsburgh,Allegheny
15122,West Mifflin,Allegheny
15123,West Mifflin,Allegheny
15126,Imperial,Allegheny
15127,Ingomar,Allegheny
15129,Library,Allegheny
15129,South Park,Allegheny
15130,McKeesport,Allegheny
15131,McKeesport,Allegheny
15131,White Oak,Allegheny
15132,McKeesport,Allegheny
15133,McKeesport,Allegheny
15134,McKeesport,Allegheny
15134,Boston,Allegheny
15134,McKeesport,Allegheny
15136,Mckees Rocks,Allegheny
15137,North Versailles,Allegheny
15139,Oakmont,Allegheny
15140,Monroeville,Allegheny
15140,Pitcairn,Allegheny
15142,Presto,Allegheny
15143,Edgeword,Allegheny
15143,Seqickley,Allegheny
15144,Springdale,Allegheny
15145,Turtle Creek,Allegheny
15146,Monroeville,Allegheny
15147,Verona Wall,Allegheny
15148,Wilmerdiing,Allegheny
15201,Arsenal,Allegheny
15201,Pittsburgh,Allegheny
15202,Bellvue,Allegheny
15202,Ben Avon,Allegheny
15202,Emsworth,Allegheny
15202,Pittsburgh,Allegheny
15203,Carson,Allegheny
15203,Pittsburgh,Allegheny
15204,Corliss,Allegheny
15204,Pittsburgh,Allegheny
15205,Crafton,Allegheny
15205,Pittsburgh,Allegheny
15206,East Liberty,Allegheny
15206,Pittsburgh,Allegheny
15207,Hazelwood,Allegheny
15207,Pittsburgh,Allegheny
15208,Homewood,Allegheny
15208,Pittsburgh,Allegheny
15209,Millvale,Allegheny
15209,PIttsburgh,Allegheny
15213,Mt Oliver,Allegheny
15213,Mt Oliver,Allegheny
15213,Pit,Allegheny
15211,Mt Washington,Allegheny
15211,Mt Washington,Allegheny
15211,Pittsburgh,Allegheny
15212,Allegheny,Allegheny
15212,Pittsburgh,Allegheny
15213,Oakland,Allegheny
15213,Pittsburgh,Allegheny
15214,Observatory,Allegheny
15214,Pittsburgh,Allegheny
15215,Aspinwall,Allegheny
15215,PIttsburgh,Allegheny
15215,Sharpsburg,Allegheny
15216,South Hills,Allegheny
15216,Pittsburgh,Allegheny
15217,Squirrel Hill,Allegheny
15217,PIttsburgh,Allegheny
15218,Pittsburgh,Allegheny
15218,Swissvale,Allegheny
15219,Pittsburgh,Allegheny
15220,Wabash,Allegheny
15220,Pittsburgh,Allegheny
15221,PIttsburgh,Allegheny
15221,Wilkinsburg,Allegheny
15222,Pittsburgh,Allegheny
15223,Etna,Allegheny
15223,Pittsburgh,Allegheny
15224,Bloomfield,Allegheny
15224,Pittsburgh,Allegheny
15225,Neville Island,Allegheny
15225,Pittsburgh,Allegheny
15226,Brookline,Allegheny
15226,Pittsburgh,Allegheny
15227,Brentwood,Allegheny
15227,Pittsburgh,Allegheny
15228,Mount Lebanon,Allegheny
15228,Pittsburgh,Allegheny
15229,Pittsburgh,Allegheny
15229,West View,Allegheny
15230,Pittsburgh,Allegheny
15231,Pittsburgh,Allegheny
15232,Shadyside,Allegheny
15232,Pittsburgh,Allegheny
15233,Kilbuck,Allegheny
15233,Pittsburgh,Allegheny
15234,Castle Shannon,Allegheny
15234,Pittsburgh,Allegheny
15235,Penn Hills,Allegheny
15235,Pittsburgh,Allegheny
15236,Caste Village,Allegheny
15236,Pittsburgh,Allegheny
15236,Pleasant Hills,Allegheny
15236,West Mifflin,Allegheny
15237,Mcknight,Allegheny
15237,Pittsburgh,Allegheny
15238,Blawnox,Allegheny
15238,PIttsburgh,Allegheny
15239,Pittsburgh,Allegheny
15239,Plum,Allegheny
15240,Pittsburgh,Allegheny
15241,Upper Saint Clair,Allegheny
15241,Pittsburgh,Allegheny
15242,Greentree,Allegheny
15242,Pittsburgh,Allegheny
15243,Cedarhurst,Allegheny
15244,Pittsburgh,Allegheny
15244,Montour,Allegheny
15250,Pittsburgh,Allegheny
15251,Pittsburgh,Allegheny
15260,Pittsburgh,Allegheny
15264,Pittsburgh,Allegheny
15272,Pittsburgh,Allegheny
15274,Pittsburgh,Allegheny
15275,Pittsburgh,Allegheny
15276,Pittsburgh,Allegheny
15290,Pittsburgh,Allegheny
15295,Pittsburgh,Allegheny
